rok_szkolny,semestr,Dziennik,liczba_uczniow,liczba_odstajacych,frekwencja_z_odstajacymi,frekwencja_bez_odstajacych,pct_odstajacych
2025/2026,I,1TR,22.0,1.0,84.1,85.8,4.5
2025/2026,I,1TW,28.0,0.0,89.8,89.8,0.0
2025/2026,I,1TŻ,25.0,0.0,83.9,83.9,0.0
2025/2026,I,2M,16.0,0.0,77.5,77.5,0.0
2025/2026,I,2TMŻ,28.0,1.0,79.7,81.1,3.6
2025/2026,I,2TW,19.0,1.0,83.9,85.6,5.3
2025/2026,I,3M,23.0,2.0,62.5,68.3,8.7
2025/2026,I,3TMR,24.0,0.0,68.9,68.9,0.0
2025/2026,I,3TR,20.0,0.0,76.4,76.4,0.0
2025/2026,I,3TW,25.0,2.0,70.5,74.7,8.0
2025/2026,I,3TŻ,26.0,1.0,78.1,79.3,3.8
2025/2026,I,4TM5,19.0,0.0,74.8,74.8,0.0
2025/2026,I,4TR5,14.0,0.0,73.5,73.5,0.0
2025/2026,I,4TW5,22.0,0.0,77.6,77.6,0.0
2025/2026,I,4TŻ5,19.0,0.0,75.4,75.4,0.0
2025/2026,I,5RŻ5,24.0,0.0,74.0,74.0,0.0
2025/2026,I,5TM5,23.0,0.0,67.4,67.4,0.0
2025/2026,I,5TW5,23.0,1.0,71.1,74.1,4.3
2025/2026,II,1M,19.0,0.0,51.9,51.9,0.0
2025/2026,II,1TMR,24.0,0.0,76.6,76.6,0.0
2025/2026,II,1TR,20.0,1.0,70.0,72.5,5.0
2025/2026,II,1TW,26.0,0.0,75.4,75.4,0.0
2025/2026,II,1TŻ,25.0,0.0,68.4,68.4,0.0
2025/2026,II,2M,17.0,1.0,64.3,66.0,5.9
2025/2026,II,2TMŻ,28.0,2.0,64.0,68.6,7.1
2025/2026,II,2TW,19.0,1.0,65.3,66.8,5.3
2025/2026,II,3M,24.0,1.0,52.2,54.5,4.2
2025/2026,II,3TMR,24.0,0.0,55.5,55.5,0.0
2025/2026,II,3TR,20.0,0.0,57.7,57.7,0.0
2025/2026,II,3TW,24.0,1.0,55.1,57.1,4.2
2025/2026,II,3TŻ,25.0,0.0,64.7,64.7,0.0
2025/2026,II,4TM5,19.0,0.0,63.0,63.0,0.0
2025/2026,II,4TR5,14.0,0.0,60.9,60.9,0.0
2025/2026,II,4TW5,22.0,0.0,61.0,61.0,0.0
2025/2026,II,4TŻ5,19.0,1.0,53.4,56.3,5.3
2025/2026,II,5RŻ5,24.0,0.0,59.1,59.1,0.0
2025/2026,II,5TM5,23.0,0.0,48.2,48.2,0.0
2025/2026,II,5TW5,22.0,1.0,60.4,61.3,4.5
